00059962;;;
00129717;;;
00129781;;;
00129825;;;
00129952;;;
00130060;;;
00130067;;;
00130118;"ne suit pas ses dossiers, fait ce qu'il veut ; on dit completer son travail";passe pas E5. ca s'améliore pas trop;
00130160;pas E7;;
00130162;;;
00130180;gestion E6;;
00130194;;;
00130322;lent marche moins bien que les autres;;
00130351;;;
00130394;;;a été très abente
00130445;;;
00130491;catégorie pure;;
00130572;pas E7;;
00130588;;;2 fois 3 ans
00130591;;;"pas E7 ; trop pointu"
00130616;faux avancement en 2020 car à démissionner de l'educ Nat;;
00130659;;;
00130668;;;
00130741;vivier E7;;
00130952;;;
00131054;retraite ? Inconnue;"regret ; pas vivier E7";
00131186;;;
00131220;;;
00131270;;;"CGC: incompréhsenion l'année dernière (min au lieu de médian) que faie ette éne; E7 ? . DIR=problème de communication, VB par regret, on va peut être lui tailler un labo construction en cours ; médiane en 2020 vivier E7 *"
00131315;eligible E7;;
00131317;;;
00131343;;;
00131497;;;
00131504;;;
00131528;;;
00131556;;;expert N4 probable
00131590;;;
00131596;;;
00131598;;;
00131642;;;
00131688;;;
00131713;"fin E4 ; synd : attention jeune, démotivation";"2ème fois fin de ligne ; ";
00131747;;;
00131802;pas envisageable E5;pas envisageable E5;fin de ligne, le département ne l'a pas mis vivier E5, pas d'implication dans les projets, v1 tous les 3 ans
00131809;;E7 ?;pas deposte pour passage E7
00131849;;;
00132083;a été virée de la DAM, travaille pas;"vient de la DAM sur difficultés perso; mi temps thérapeutique, quand présente on ne peut pas la faire travailler.";
00132249;ingénieur, fin de lignepas évident de le faire venir au labo, rlentit lui-même ;pas cette année pas E5;
00132272;;;
00132319;;;
00132352;;;
00132459;;;
00132982;;;
00133130;;;
00133399;;;
00133768;;;
00133788;;;
00133832;;;
00133848;;;
00133895;;;
00133937;;;
00133943;retour du CNRS où direction institut astrophysique du CNRS;;
00133949;;idem ;"gestion fin de ligne E4 ; constant dans le positionnement pas envie de trop responsabilités ; pas de présentation ; ne publie pas ; choix"
00133980;;;"3 ans + deux fois faible ; fait bien ce qui l'intéresse ; a du mal abvec les objectifs du labo ;pas de plan d'action pour redresseer la barre"
00133981;;;
00134030;;;
00134034;gestion E6;;
00134098;;;
00134117;;;
00134145;;;
00134151;regret probable med;;
00134156;;pas saillant, dernier avancement 2017;
00134206;;;
00134222;;;
00134233;;;
00134293;butée;;
00134295;restera 2vb;;
00134338;;;
00134346;;;
00134349;;;
00134373;;;
