 1 ! nb de types
   5.31100000000000       ! rayon de coupure en Ang
 55.84700 26 'Fe'
 -0.1 -0.2  ! raccordement Ziegler (en Ang)
       50000  ! nombre de points dans les grilles
 1 ! type 1 GLUE/EAM
       50000        0.0100000000
                 1.410000000000000                -1.188772178207029                -0.422973360638952
                 1.420000000000000                -1.192994539508004                -0.421501523693048
                 1.430000000000000                -1.197202260703402                -0.420045293726497
                 1.440000000000000                -1.201395496500289                -0.418604399305267
                 1.450000000000000                -1.205574398924382                -0.417178575558513
                 1.460000000000000                -1.209739117384655                -0.415767563975937
                 1.470000000000000                -1.213889798735968                -0.414371112212746
                 1.480000000000000                -1.218026587339774                -0.412988973901865
                 1.490000000000000                -1.222149625122988                -0.411620908473098
                 1.500000000000000                -1.226259051635078                -0.410266680978928
                 1.510000000000000                -1.230355004103451                -0.408926061926679
                 1.520000000000000                -1.234437617487182                -0.407598827116749
                 1.530000000000000                -1.238507024529165                -0.406284757486681
                 1.540000000000000                -1.242563355806725                -0.404983638960804
                 1.550000000000000                -1.246606739780760                -0.403695262305217
                 1.560000000000000                -1.250637302843450                -0.402419422987904
                 1.570000000000000                -1.254655169364602                -0.401155921043744
                 1.580000000000000                -1.258660461736661                -0.399904560944235
                 1.590000000000000                -1.262653300418445                -0.398665151471735
                 1.600000000000000                -1.266633803977639                -0.397437505598023
                 1.610000000000000                -1.270602089132108                -0.396221440367020
                 1.620000000000000                -1.274558270790037                -0.395016776781503
                 1.630000000000000                -1.278502462088981                -0.393823339693638
                 1.640000000000000                -1.282434774433817                -0.392640957699198
                 1.650000000000000                -1.286355317533673                -0.391469463035304
                 1.660000000000000                -1.290264199437841                -0.390308691481570
                 1.670000000000000                -1.294161526570720                -0.389158482264497
                 1.680000000000000                -1.298047403765826                -0.388018677965011
                 1.690000000000000                -1.301921934298879                -0.386889124429010
                 1.700000000000000                -1.305785219920022                -0.385769670680810
                 1.710000000000000                -1.309637360885183                -0.384660168839379
                 1.720000000000000                -1.313478455986615                -0.383560474037256
                 1.730000000000000                -1.317308602582633                -0.382470444342044
                 1.740000000000000                -1.321127896626591                -0.381389940680399
                 1.750000000000000                -1.324936432695092                -0.380318826764404
                 1.760000000000000                -1.328734304015492                -0.379256969020249
                 1.770000000000000                -1.332521602492688                -0.378204236519126
                 1.780000000000000                -1.336298418735236                -0.377160500910274
                 1.790000000000000                -1.340064842080803                -0.376125636356071
                 1.800000000000000                -1.343820960620983                -0.375099519469119
                 1.810000000000000                -1.347566861225490                -0.374082029251244
                 1.820000000000000                -1.351302629565758                -0.373073047034337
                 1.830000000000000                -1.355028350137949                -0.372072456422980
                 1.840000000000000                -1.358744106285401                -0.371080143238791
                 1.850000000000000                -1.362449980220530                -0.370095995466415
                 1.860000000000000                -1.366146053046191                -0.369119903201132
                 1.870000000000000                -1.369832404776536                -0.368151758597988
                 1.880000000000000                -1.373509114357358                -0.367191455822434
                 1.890000000000000                -1.377176259685957                -0.366238891002390
                 1.900000000000000                -1.380833917630530                -0.365293962181709
                 1.910000000000000                -1.384482164049101                -0.364356569274973
                 1.920000000000000                -1.388121073808015                -0.363426614023592
                 1.930000000000000                -1.391750720799983                -0.362503999953156
                 1.940000000000000                -1.395371177961720                -0.361588632331993
                 1.950000000000000                -1.398982517291171                -0.360680418130902
                 1.960000000000000                -1.402584809864338                -0.359779265984014
                 1.970000000000000                -1.406178125851721                -0.358885086150750
                 1.980000000000000                -1.409762534534385                -0.357997790478834
                 1.990000000000000                -1.413338104319667                -0.357117292368334
                 2.000000000000000                -1.416904902756517                -0.356243506736686
                 2.010000000000000                -1.420462996550505                -0.355376349984686
                 2.020000000000000                -1.424012451578488                -0.354515739963400
                 2.030000000000000                -1.427553332902952                -0.353661595941974
                 2.040000000000000                -1.431085704786030                -0.352813838576319
                 2.050000000000000                -1.434609630703224                -0.351972389878629
                 2.060000000000000                -1.438125173356814                -0.351137173187718
                 2.070000000000000                -1.441632394688981                -0.350308113140146
                 2.080000000000000                -1.445131355894644                -0.349485135642109
                 2.090000000000000                -1.448622117434015                -0.348668167842068
                 2.100000000000000                -1.452104739044894                -0.347857138104098
                 2.110000000000000                -1.455579279754687                -0.347051975981933
                 2.120000000000000                -1.459045797892185                -0.346252612193682
                 2.130000000000000                -1.462504351099076                -0.345458978597200
                 2.140000000000000                -1.465954996341226                -0.344671008166096
                 2.150000000000000                -1.469397789919717                -0.343888634966350
                 2.160000000000000                -1.472832787481660                -0.343111794133530
                 2.170000000000000                -1.476260044030773                -0.342340421850588
                 2.180000000000000                -1.479679613937755                -0.341574455326208
                 2.190000000000000                -1.483091550950428                -0.340813832773714
                 2.200000000000000                -1.486495908203686                -0.340058493390491
                 2.210000000000000                -1.489892738229235                -0.339308377337925
                 2.220000000000000                -1.493282092965130                -0.338563425721845
                 2.230000000000000                -1.496664023765130                -0.337823580573437
                 2.240000000000000                -1.500038581407852                -0.337088784830638
